pdb,Hchain,Lchain,antigen_chain,delta_g,temperature,pdb_exists
3h3p,H,L,S,-10.71,25.0,True
4nm8,J,N,F | E,-11.735309499921597,,True
3o6m,H,L,C,-9.89,16.0,True
1dqj,B,A,C,-11.45,25.0,True
4g6f,B,D,F,-10.599564136380756,,True
4fqr,q,r,Q,-9.54970862587178,,True
6b14,H,L,R,-11.324631107601816,,True
5te6,H,L,G,-11.714355044389787,,True
2fl5,F,E,F,-11.929942798416157,,True
4z5r,B,A,N,-14.658430977236662,,True
4jan,H,L,G,-10.503274322962254,,True
4zfo,H,L,K,-14.567099215178107,,True
6e62,H,L,P,-11.589048932503635,,True
2jel,H,L,P,-11.49,23.0,True
4rdq,M,L,C,-10.67372125591851,,True
2qr0,B,A,D,-11.5,37.0,True
5kve,H,L,E,-10.171711101540176,,True
5usl,B,C,A,-14.728215503643929,,True
1nsn,H,L,S,-13.63,,True
3eys,H,L,Q,-7.4,20.0,True
2r0l,H,L,A,-10.68,25.0,True
2qr0,F,E,C,-11.5,37.0,True
3ijy,B,A,B,-8.241342074897947,,True
6ddr,B,A,C,-12.314856971588666,,True
3ixt,A,B,C,-9.02,,True
1p2c,B,A,C,-13.65,25.0,True
4dkf,I,M,B,-11.607859518116271,,True
1qfu,H,L,A,-11.5,22.0,True
4p59,H,L,A,-14.317537111324148,,True
5kw9,H,L,A,-10.488644352985895,,True
4odx,A,L,Y,-11.850005304444045,,True
3vg9,C,B,A,-11.400370293980798,,True
5sx5,J,K,M,-12.195390134749903,,True
4fqr,k,l,K,-9.54970862587178,,True
4zs6,H,L,A,-8.875561141727196,,True
5aaw,A,a,C,-11.411241859183765,,True
1bvk,B,A,C,-10.53,20.0,True
3ma9,H,L,A,-11.02,28.0,True
4hlz,K,L,F | E,-11.867518412372508,,True
3i02,D,C,D,-10.26304286359873,,True
4nm8,I,M,D | C,-11.735309499921597,,True
5t6l,A,B,G,-14.386165571647554,,True
1cz8,Y,X,V,-14.12,37.0,True
6a67,H,L,A,-12.275831597239875,,True
6mft,A,B,C,-7.691979474199363,,True
6aod,B,A,C,-13.356611273870056,,True
5yhl,H,L,A,-10.5656987090059,,True
5tzt,A,B,D,-11.653534133424982,,True
3p11,H,L,A,-12.19,37.0,True
4jn2,B,A,A,-15.931343304588362,,True
5d72,M,N,B,-15.309340828919966,,True
1za3,B,A,S,-10.18,,True
1yei,H,L,L,-10.171711101540176,,True
2r8s,H,L,R,-9.94865428469745,,True
2xtj,D,B,A,-11.39,25.0,True
5hys,E,F,J,-14.201849726854263,,True
1qfw,I,M,B,-10.913952715282036,,True
5dfv,C,D,A,-12.68887519701207,,True
5t5b,H,L,E,-13.519788377213574,,True
6b3s,H,L,A,-10.805930168369423,,True
3ijh,D,C,C,-5.456976357641017,,True
3ifo,H,L,P,-9.9,25.0,True
1fsk,I,H,G,-13.12373995487015,,True
6bkb,H,L,E,-12.037965345328766,,True
5t5f,H,L,A,-13.26215294160082,,True
2nz9,F,E,B,-15.12,23.0,True
5alc,H,L,L,-11.092352568721394,,True
1dee,F,E,H,-8.728351841232218,,True
4fqr,i,j,I,-9.54970862587178,,True
1etz,H,L,H,-9.73,,True
1tzi,B,A,V,-11.35,37.0,True
3iu3,H,L,I,-13.44,25.0,True
5whk,H,L,A | B,-11.926660331959344,,True
2wuc,H,L,A,-9.26,25.0,True
2aeq,H,L,A,-10.8,,True
3iu3,C,D,J,-13.44,25.0,True
6mi2,A,B,C,-9.769557801336566,,True
4m1d,H,L,P,-10.420467653019871,,True
3be1,H,L,A,-10.34,,True
2qr0,N,M,O,-11.5,37.0,True
4wht,X,Y,x,-11.053614350904786,,True
2xra,H,L,A,-11.56,25.0,True
3sqo,H,L,A,-15.417363375832576,,True
5wux,H,L,E,-14.40948636554907,,True
4xnm,B,A,D,-11.046161627732946,,True
6axk,A,B,E,-8.889005432540593,,True
5d1x,B,A,E,-14.567099215178107,,True
4jkp,H,L,G,-9.94865428469745,,True
4zpt,H,L,S,-10.91811468499047,,True
2ypv,H,L,A,-14.355775131829494,,True
4xgz,S,T,s,-10.395251776049642,,True
4etq,A,B,X,-13.29418688782641,,True
3eoa,B,A,J,-11.8,25.0,True
1mfd,H,L,H,-7.243868613748499,,True
5csz,A,B,E,-10.599564136380756,,True
3ubx,H,L,A,-10.366344400034732,,True
3sdy,H,L,B | A,-12.48,30.0,True
1i8m,B,A,D,-7.5969790708218685,,True
1mh5,B,A,B,-12.571059308451574,,True
5kzp,E,I,B,-9.761032709220396,,True
6azz,F,E,D,-11.151229137696946,,True
2fjg,B,A,V,-10.92,37.0,True
5ghw,H,L,P,-10.938139080820337,,True
3hae,I,G,D | F,-10.0,,True
5bo1,H,L,B,-12.41785844031504,,True
3nh7,I,M,B,-10.5,25.0,True
6ejg,D,d,B,-12.403045576779585,,True
1yym,H,L,G,-6.852859535761411,,True
5kov,Q,q,N,-11.907338499719083,,True
5myx,B,A,E,-11.13811088195787,,True
5d1x,C,D,E,-14.567099215178107,,True
6cdm,A,B,C,-12.40671421809852,,True
3i9g,H,L,L,-12.21,25.0,True
5cd5,C,D,A,-8.920931468069222,,True
4xh2,J,K,j,-11.216608560689204,,True
4dke,H,L,A,-13.534418347189932,,True
4k2u,I,M,B,-14.754720790655163,,True
6d6u,K,L,D,-11.20681521904132,,True
4xgz,E,F,e,-10.395251776049642,,True
4z5r,K,J,D,-14.658430977236662,,True
3ngb,B,C,A,-10.88,20.0,True
3g6j,H,G,D | C,-11.89,25.0,True
1p2c,E,D,F,-13.65,25.0,True
3bpc,B,A,B,-6.5427509671824025,,True
3o6l,H,L,C,-9.93,16.0,True
4rdq,O,N,D,-10.67372125591851,,True
2c1p,H,L,H,-7.3641077518219635,,True
3b2u,H,L,A,-12.27,25.0,True
4zff,H,L,D,-11.324631107601816,,True
5b71,D,C,F,-13.394361854051732,,True
4i3r,H,L,G,-10.81088821972937,,True
2fx8,H,L,P,-8.89,,True
4i18,H,L,C,-11.25748571108156,,True
6h06,A,B,K,-7.164753442850797,,True
5j3h,C,D,E,-11.735309499921597,,True
2vxt,H,L,I,-12.64,,True
5tru,H,L,C,-10.87942933816716,,True
4n9g,M,N,Z,-12.942286816628542,,True
4xgz,U,V,u,-10.395251776049642,,True
1y0l,F,E,F,-12.27819680469229,,True
3fku,S,s,J | I,-13.48,25.0,True
4nj9,H,L,H,-9.504110465002816,,True
3uyr,H,L,P,-9.408095013098825,,True
4xgz,G,I,g,-10.395251776049642,,True
6df1,H,L,A,-8.946058216241992,,True
4xh2,H,L,h,-11.216608560689204,,True
4liq,H,L,E,-13.23176250178276,,True
4yhm,H,L,H,-13.31768790490194,,True
4zs7,H,L,A,-14.567099215178107,,True
6h06,C,D,G,-7.164753442850797,,True
4why,I,J,A,-11.053614350904786,,True
1axs,B,A,B,-10.599564136380756,,True
5bk1,H,L,A,-12.22172707862036,,True
4wht,C,D,c,-11.053614350904786,,True
5hdq,H,L,A,-12.170174257779676,,True
6d6t,J,I,B,-11.20681521904132,,True
5wtt,H,L,P,-9.006821321101087,,True
6b0a,H,L,A,-11.503030961041176,,True
2xzc,H,L,L,-7.67,25.0,True
3ngb,J,K,I,-10.88,20.0,True
1a4k,H,L,H,-10.91,25.0,True
4jlr,H,L,S,-14.357753376338442,,True
2j4w,H,L,D,-12.57,,True
5utz,H,L,D,-11.904493814008964,,True
5k59,E,F,B,-15.82804176815236,,True
3g6j,F,E,B | A,-11.89,25.0,True
4f9p,C,c,A,-10.67372125591851,,True
3hi1,H,L,G,-10.84,,True
5sx4,J,I,M,-12.917373922881485,,True
5dfv,E,F,B,-12.68887519701207,,True
4o4y,H,L,A,-10.654293821025798,,True
5aam,B,b,J,-11.487230459870789,,True
3ubx,G,I,D,-10.366344400034732,,True
1mj7,H,L,H,-11.38705549364546,,True
4m7j,H,L,H,-8.33191472899872,,True
3ifp,A,B,Q,-10.38,25.0,True
4jlr,A,B,C,-14.357753376338442,,True
3gkz,a,A,A,-10.913952715282036,,True
4mhj,R,Q,O,-12.27819680469229,,True
4hlz,G,H,B | A,-11.867518412372508,,True
3ux9,B,b,A,-12.45101842491568,,True
1yy9,D,C,A,-11.78,25.0,True
1fsk,L,K,J,-13.12373995487015,,True
5kov,U,u,T,-11.907338499719083,,True
5d8j,H,L,A,-11.93656279667228,,True
5j74,A,a,a,-11.897908852190566,,True
3g5v,B,A,C,-9.64,25.0,True
5jyl,D,d,C,-10.996463217420198,,True
2j6e,H,L,A,-8.488120381868695,,True
3lev,H,L,A,-12.8,,True
4qci,H,L,C,-14.396652282221847,,True
4wht,O,P,o,-11.053614350904786,,True
1kel,H,L,H,-9.83,,True
5dfw,H,h,A,-12.68887519701207,,True
5cjq,H,L,B | A,-12.68887519701207,,True
4i2x,B,A,E,-8.077441989548914,,True
5yoy,I,F,A,-14.658430977236662,,True
